time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),r_briere
2020-09-01,16.557142857142857,5.885714285714286,11.614285714285714,0.0021061673171430834
2020-09-08,21.157142857142855,9.485714285714286,15.671428571428573,0.01144687659999009
2020-09-15,22.357142857142858,11.528571428571428,16.87142857142857,0.014608548615617143
2020-09-22,24.67142857142857,11.985714285714286,18.8,0.019827263805102312
2020-09-29,19.400000000000002,7.785714285714286,13.485714285714286,0.00608545145635614
2020-10-06,25.099999999999998,11.571428571428571,18.5,0.019013237894300122
2020-10-13,29.87142857142857,18.242857142857144,24.428571428571427,0.033188587689390474
2020-10-20,26.428571428571427,14.271428571428572,20.342857142857145,0.023955609661380512
2020-10-27,26.214285714285715,13.571428571428571,20.542857142857144,0.02447800913651393
2020-11-03,30.2,18.457142857142856,24.728571428571428,0.033681349410493444
2020-11-10,26.32857142857143,17.514285714285712,22.042857142857144,0.02822997453759986
2020-11-17,28.0,17.342857142857145,22.885714285714283,0.030159182171190138
2020-11-24,29.142857142857142,19.75714285714286,24.67142857142857,0.03359030215720014
2020-12-01,29.228571428571428,17.757142857142856,23.857142857142858,0.03215587088550849
2020-12-08,33.114285714285714,19.82857142857143,26.82857142857143,0.03589170971104088
2020-12-15,30.32857142857143,18.185714285714287,24.599999999999998,0.03347460472699865
2020-12-22,33.1,22.885714285714283,28.228571428571428,0.035676017759457154
2020-12-29,30.214285714285715,19.47142857142857,25.042857142857144,0.034157174630464006
2021-01-05,25.400000000000002,16.97142857142857,21.228571428571428,0.02623423499277572
2021-01-12,27.857142857142858,16.785714285714285,22.599999999999998,0.0295232139719916
2021-01-19,34.81428571428572,21.228571428571428,28.442857142857143,0.03547723325372231
2021-01-26,25.442857142857143,18.071428571428573,21.771428571428572,0.027577358044313778
2021-02-02,27.714285714285715,16.45714285714286,22.514285714285712,0.029328647417630336
2021-02-09,25.157142857142855,16.62857142857143,20.914285714285715,0.025436606676675022
2021-02-16,24.514285714285712,16.842857142857145,20.657142857142855,0.02477464737809015
2021-02-23,29.414285714285715,19.457142857142856,24.47142857142857,0.03326117728679465
2021-03-02,30.400000000000002,20.24285714285714,25.52857142857143,0.034803202355023696
2021-03-09,27.32857142857143,18.557142857142857,23.071428571428573,0.030561580805371805
2021-03-16,19.17142857142857,13.37142857142857,16.057142857142857,0.012450708603728544
2021-03-23,21.614285714285717,12.114285714285714,17.085714285714285,0.015183280927908568
2021-03-30,24.857142857142858,15.328571428571431,20.599999999999998,0.024626506228111203
2021-04-06,20.8,13.828571428571427,17.271428571428572,0.015683152113436613
2021-04-13,24.32857142857143,14.799999999999999,19.957142857142856,0.022937702637466237
2021-04-20,20.442857142857143,12.414285714285715,16.314285714285713,0.01312700068906336
2021-04-27,21.557142857142857,11.285714285714286,16.414285714285715,0.013391378349983617
2021-05-04,14.542857142857143,7.571428571428571,11.042857142857143,0.0010334894021101731
2021-05-11,17.314285714285713,8.071428571428571,12.814285714285715,0.004581937330883987
2021-05-18,15.142857142857142,8.171428571428573,12.042857142857143,0.0029571043898151744
2021-05-25,15.828571428571427,8.342857142857143,12.442857142857141,0.003785207452683892
2021-06-01,16.5,8.414285714285715,12.214285714285714,0.003308101878350404
2021-06-08,15.914285714285715,6.185714285714285,11.342857142857143,0.0015875806699285173
2021-06-15,6.628571428571428,1.3714285714285714,3.9,-0.0046529220021218915
2021-06-22,10.328571428571427,1.9000000000000001,6.414285714285714,-0.004503807736999665
2021-06-29,12.371428571428572,4.171428571428572,8.242857142857144,-0.0030528137252471836
2021-07-06,14.928571428571429,5.385714285714286,10.042857142857143,-0.000660275324063159
2021-07-13,12.257142857142856,3.414285714285714,8.028571428571428,-0.0032764538758256415
2021-07-20,15.833333333333334,6.3999999999999995,11.333333333333334,0.001569679225871227
